,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Ireland,Iceland,Israel,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7.354417,NA,8.471058,6.589767,9.673502,11.38583,NA,NA,NA,9.466667,4.232892,NA,NA,NA,4.025,7.091995,NA,NA,NA,9.768113,NA,NA,NA,20.79167,9.75,15.82557,9.625,8.658333,NA,7.673603,3.039959,NA,NA,12.28333,NA,NA,NA,3.153574,NA,NA,NA,12.3,6.116667,2.559387,NA,NA,NA,NA,NA,NA,NA,NA,5.791667,6.449457,5.37,NA,9.525,15.225,7.850721,9.975,8.289285,6.13768,NA,1.725,NA,13.68083,14.04167,10.42781,NA,NA,NA,1.808333,NA,5.591667,NA,NA,NA,NA
1996,7.322547,NA,8.516425,7.033851,9.544409,11.06167,NA,NA,NA,9.608333,4.665679,NA,NA,NA,3.883333,7.744782,NA,NA,NA,10.06256,NA,NA,NA,19.90833,9.95,14.98687,10.1,8.116667,NA,7.70992,2.856166,NA,NA,11.65,NA,NA,NA,3.350839,NA,NA,NA,11.3,7.133333,2.818333,NA,NA,NA,NA,NA,NA,NA,NA,5.083333,6.304477,5.37,NA,8.55,14.3,7.954561,7.775,9.273822,6.026903,NA,1.65,NA,12.605,13.91667,10.899,NA,NA,NA,2.6,NA,5.408333,NA,NA,NA,NA
1997,7.023795,NA,8.363718,7.103283,9.212289,14.04583,NA,NA,NA,9.091667,5.201972,NA,NA,NA,4.783333,8.564591,NA,NA,NA,10.69807,NA,NA,NA,18.4,9.65,13.03176,10.25,6.983333,NA,7.611455,2.237825,NA,NA,9.858333,NA,NA,NA,3.403121,NA,NA,NA,10.5,5.908333,3.025643,NA,NA,NA,NA,NA,NA,NA,NA,4.141667,6.833208,6.12,NA,8.725,11.50833,7.452022,7.508333,10.82492,6.6052,NA,1.425,NA,12.91417,14.41667,10.88263,NA,NA,NA,2.725,11.55833,4.941667,NA,NA,NA,NA
1998,6.647396,NA,7.651377,7.184796,9.340881,12.20333,NA,NA,NA,8.291667,3.840284,NA,NA,NA,6.475,8.107012,NA,NA,NA,11.25522,NA,NA,NA,16.40833,9.825,11.75578,9.8,6.266667,NA,7.433679,4.360939,NA,NA,7.55,NA,NA,NA,4.114412,NA,NA,NA,9.2,6.408333,2.796701,NA,NA,NA,NA,NA,NA,NA,NA,3.308333,7.734764,5.89,NA,10.05,10.00833,5.693785,9.266667,11.88359,6.256669,NA,2.575,NA,13.825,14.48333,8.813412,NA,NA,NA,2.7,10.125,4.5,NA,NA,NA,NA
1999,6.325783,NA,6.869885,6.645249,8.41108,13.7825,NA,NA,NA,7.566667,2.713548,NA,NA,NA,8.708333,7.482197,NA,NA,NA,12.65042,NA,NA,NA,13.6,12.25,10.59787,9.55,5.983333,NA,7.477523,6.254886,18.63333,6.525,5.916667,NA,NA,NA,4.683277,NA,NA,NA,8.9,8.383333,2.655528,NA,NA,NA,NA,NA,NA,NA,NA,3.241667,7.016475,5.89,NA,9.775,11.99167,5.07826,11.38333,13.02706,6.223437,4.351138,2.8,NA,17.49083,13.56667,7.565179,NA,NA,NA,2.925,11.2,4.216667,14.50367,NA,NA,NA
2000,5.845882,NA,6.273074,5.803798,6.875592,18.12917,NA,NA,NA,6.833333,1.817696,NA,NA,4.85,8.766667,6.874555,NA,NA,NA,11.44652,NA,NA,NA,11.91667,14.575,10.17562,8.175,5.45,NA,6.883857,5.119731,20.6,5.975,4.383333,NA,NA,NA,4.714846,4.416667,NA,NA,7.6,11.53333,2.380519,NA,NA,NA,NA,NA,NA,NA,NA,3.466667,6.1447,7.82,NA,11.2,14.025,4.697619,11.175,10.55149,7.795629,4.571755,2.6,NA,18.265,12.18333,6.332136,NA,NA,NA,3,13.4,3.966667,13.98188,NA,NA,NA
2001,5.990475,NA,6.765134,6.094126,6.589738,17.50833,NA,NA,NA,7.225,1.700255,NA,14.97301,3.916667,8.116667,6.901246,NA,NA,NA,10.51114,NA,NA,NA,10.575,13,9.534451,7.35,5.083333,NA,6.815976,4.922822,21.51667,5.3,4.183333,NA,NA,NA,5.039315,3.975,NA,NA,7.9,12.53333,2.198996,NA,NA,NA,NA,NA,6.422907,NA,NA,3.633333,5.45462,7.82,NA,11.175,16.21667,4.772225,8.991667,8.950524,7.828862,4.621904,2.675,NA,18.26667,11.55833,5.971158,3.2725,NA,NA,4.561667,15.19167,4.741667,13.3524,NA,NA,26.05535
2002,6.55024,22.42537,6.358194,6.871619,7.526965,17.42667,NA,NA,NA,7.683333,2.550812,NA,15.67144,3.516667,7.291667,7.665995,NA,NA,5.983834,10.64183,NA,NA,NA,11.46667,11.225,9.471138,7.525,5.175,NA,7.290866,7.227346,21.78333,5.4,4.733333,NA,NA,NA,5.373721,3.25,NA,NA,8.8,11.34167,2.499262,12.47432,NA,NA,NA,NA,6.956842,NA,NA,3.908333,5.306666,8.27,9.402833,11.4,19.71667,5.767419,10.18333,8.058492,8.328711,5.27082,3.575,27.84063,17.80833,11.59167,6.080622,2.370833,NA,NA,5.171667,16.75,5.783333,16.22996,NA,8.421194,27.84063
2003,6.762737,17.21658,5.931701,7.014325,8.182808,14.25917,NA,NA,NA,7.591667,3.699936,NA,14.07279,4.108333,7.8,8.770507,NA,NA,5.895526,10.46226,NA,10.41368,NA,11.49167,10.35,9.406623,8.125,5.008333,NA,7.426773,7.920709,19.075,5.45,4.841667,3.510446,NA,NA,5.252234,3.575,NA,NA,8.1,10.275,3.285751,11.65806,NA,NA,NA,NA,7.556806,NA,5.920346,4.491667,4.777104,8.27,9.447859,11.375,19.91667,6.945851,7.558333,8.243252,8.251168,5.558241,4,27.56712,15.18167,11.175,6.707276,2.166667,NA,NA,4.995,17.15,5.991667,18.07433,NA,8.359229,27.56712
2004,6.527801,13.62201,5.395828,7.067989,8.39029,12.67,NA,NA,NA,7.15,3.877498,NA,13.61259,4.616667,8.308333,9.181314,NA,NA,6.042697,9.932442,NA,10.75131,9.24739,10.975,10.125,9.203872,8.525,4.75,10.60887,7.139248,6.882274,17.775,5.675,4.75,3.37461,NA,8.059599,4.714356,3.666667,NA,NA,8.1,6.816667,3.691951,11.75632,NA,NA,NA,37.15246,7.184147,9.969311,6.778997,4.541667,4.02132,7.69,9.447917,11.8,19.5,7.348092,6.75,7.735817,7.735418,5.815326,3.375,25.09258,14.24167,10.59167,7.495525,2.054167,NA,NA,4.419167,13.34167,5.541667,14.99684,NA,7.960645,25.09258
2005,6.193319,11.56038,5.033575,7.272197,8.441851,11.45083,NA,NA,NA,6.75,3.763605,NA,11.82128,5.291667,7.925,9.119307,NA,NA,5.755575,9.261673,NA,11.03416,8.789653,9.158333,8.025,8.787693,8.5,4.841667,10.02059,6.75224,5.708735,17.59167,6.775,4.633333,2.912352,NA,7.787296,4.423202,3.733333,NA,NA,7.7,4.808333,4.103193,10.0311,NA,3.478333,NA,37.24997,7.177865,10.2673,6.955206,4.808333,3.826852,7.69,9.558387,11.35,18.18333,8.302135,5.825,7.16063,7.691108,6.093714,3.125,24.63161,11.62583,10.14167,7.911123,1.825833,NA,9.25,4.126667,12.14167,5.083333,12.19567,NA,7.560851,24.63161
2006,5.750116,10.15066,4.773106,6.779983,8.259,9.6025,16,NA,NA,6.45,3.329346,NA,12.09886,4.558333,7.141667,8.079014,3.795757,NA,4.122685,8.764722,NA,10.70161,7.930614,8.441667,5.95,8.096037,8.525,5.416667,9.035463,6.312535,4.840284,16.53333,7.05,4.766667,3.189367,NA,6.867435,4.139495,3.483333,NA,NA,6.5,3.458333,4.222978,7.009397,9.576953,3.525833,7.665398,36.02997,7.271743,10.06759,6.073976,3.608333,3.841961,6.2,8.544907,7.975,16.19167,8.352722,5.416667,7.070196,6.233233,6.295392,2.675,23.48972,10.3625,9.433333,7.145898,1.490833,NA,8.741667,3.904167,10.78333,4.608333,9.944667,NA,6.898525,23.48972
2007,5.503183,8.445447,4.36939,6.212382,7.488011,7.736667,5.6,NA,NA,6.158333,2.761496,NA,11.28753,3.941667,5.316667,8.531125,3.59622,NA,3.780625,7.696165,NA,8.998381,7.140423,8.25,4.625,7.261974,7.675,5.333333,8.421496,5.82554,4.118428,14.74167,7.025,5.008333,2.465315,NA,6.164603,3.838205,3.258333,NA,NA,6,3.175,4.183068,6.058362,9.768167,3.610833,7.086824,34.92754,6.466164,8.892362,5.299355,2.725,3.561369,5.2,8.391889,7.325,12.69167,8.708306,4.3,6.052404,5.288621,5.798668,2.1,22.88476,8.420833,7.725,6.222599,1.353333,NA,8.841667,3.91,9.4,4.616667,8.454346,NA,6.362191,22.88476
2008,5.913612,7.856472,4.245414,5.900164,6.964915,6.3025,3.7,NA,NA,6.308333,2.573752,NA,11.40321,3.658333,4.408333,7.410218,2.642212,NA,3.821656,7.613294,5.469826,8.707039,7.031962,11.26667,5.425,6.75951,7.1,5.708333,7.760838,6.052807,3.435872,13.03333,7.425,6.8,3.4301,NA,6.787662,3.994579,3.166667,NA,NA,5.4,3.45,4.157456,7.790274,9.550787,3.903333,7.11945,33.77549,6.06385,8.520868,4.75447,2.908333,4.023856,5.2,8.37726,7.4,9.825,8.306925,3.983333,6.263401,5.222155,5.201662,2.275,22.46765,7.645,6.733333,6.278354,1.373333,NA,9.85,4.145833,7.925,5.8,7.340996,2.38,6.494413,22.46765
2009,8.135242,8.66709,5.564415,7.277309,7.986733,7.584167,4,NA,NA,8.458333,3.712967,NA,12.2432,5.391667,6.691667,7.221496,4.844062,NA,4.059837,9.726272,6.280608,9.393224,7.980921,17.88333,13.6,8.390666,8.75,7.608333,9.756503,8.151531,5.205973,14.54167,9.7,12.65,8.103052,NA,7.892778,5.067755,3.65,NA,NA,5.9,9.458333,5.47872,17.63713,9.104138,5.385,7.871509,32.17301,6.908511,8.869236,5.434037,3.466667,5.887898,5.46,8.392997,7.475,10.96667,10.18815,6.283333,8.242749,5.508742,5.40163,3,23.66736,11.44,9.158333,8.45006,1.456667,NA,12.94167,5.850833,7.783333,9.283333,7.896865,2.9,8.016842,23.66736
2010,8.446515,7.745602,5.1826,6.924717,8.371862,9.474167,3.6,NA,NA,8.141667,3.515214,8.535106,12.01004,6.283333,7.291667,6.562063,6.072357,NA,3.888312,9.15596,5.7921,8.983811,7.764968,19.86667,16.7,8.534658,8.925,7.891667,12.97159,8.366714,4.416436,17.175,10.75,14.59167,8.363068,NA,8.542089,5.048095,3.7,NA,NA,4.9,14.48333,5.803458,19.43064,9.112441,5.3075,7.610249,32.04459,6.890531,8.646904,6.063175,3.916667,6.218639,5.55,7.848329,7.325,12.11667,11.50988,7.625,7.345435,5.477995,5.500834,2.175,24.84056,12.4725,10.76667,8.687275,1.035833,NA,11.05833,5.225833,7.025,9.608333,8.51256,2.91,8.041061,24.84056
2011,8.155387,7.154079,5.084524,6.724669,7.208801,9.594167,4,NA,NA,7.616667,2.836459,7.37303,11.04388,7.908333,6.716667,5.505894,5.935751,NA,3.431192,8.125004,4.7184,11.99666,7.544661,21.41667,12.325,7.951294,8.825,8.1,18.10343,8.000703,3.466273,17.39167,10.675,15.40833,7.638525,NA,8.508718,4.582263,3.383333,NA,NA,4.2,11.70833,5.681386,16.16712,8.866541,5.19,7.522847,31.37116,6.469968,10.43798,6.052812,3.583333,6.015408,5.95,7.688374,7.05,12.38333,13.43262,5.383333,6.49654,5.756142,5.798776,2.025,24.78829,13.15167,11.875,7.868837,0.650833,NA,8.983333,4.389167,6.341667,8.933333,8.182989,2.22,7.789753,24.78829
2012,8.279377,7.214806,5.223267,6.980577,7.632044,11.08917,3.7,NA,NA,7.408333,2.906198,6.646527,10.635,11.85,6.991667,5.078717,6.05249,NA,3.318076,7.502376,4.13245,12.66604,7.320945,24.80833,9.975,7.821148,9.4,7.991667,24.83186,7.969283,3.298842,18.6,10.7,15.475,6.601195,6.891667,10.89798,4.347788,3.2,NA,NA,4,11.71667,6.090515,15.00631,9.017255,4.93,7.41606,30.99627,6.424631,10.79982,6.821324,3.475,6.473364,5.95,6.771483,7,12.8,16.51281,5.066667,5.431224,5.733986,5.49866,1.95,24.87962,13.58083,12.00833,8.083352,0.656667,17.34898,8.3,4.236667,6.325,8.075,7.801805,1.95,7.723387,24.87962
2013,8.232916,7.075905,5.670081,7.614801,8.55447,11.3125,4.3,NA,7.291388,7.175,3.159491,6.12404,9.88685,15.925,6.958333,4.944461,5.749054,NA,3.443012,7.736225,4.03611,13.31185,7.417455,26.09167,8.6,8.292564,9.95,7.608333,27.83498,7.956613,3.398072,19.81667,9.8,13.76667,5.84553,6.208333,12.37899,4.021579,3.1,NA,NA,4.4,10.925,6.835032,11.84304,9.20802,4.939167,7.520412,28.9962,6.379206,11.092,8.203119,3.9,5.8505,6.24,5.944029,7.075,13.525,17.09646,5.258333,5.491229,6.036172,5.598755,1.9,24.7314,14.1,13.125,8.108906,0.723333,15.84708,8.866667,4.175833,6.508333,7.358333,7.518473,2.17,7.755758,24.7314
2014,7.600981,7.268935,6.086417,8.365303,8.653579,11.16,3.8,NA,6.876023,7.033333,3.043093,6.424753,9.404229,16.16667,6.116667,4.703907,5.000042,NA,3.365173,7.56797,4.292471,13.15547,7.268058,24.45,7.3,8.756753,9.9,6.216667,26.65162,7.373478,3.237714,19.25833,7.5,11.89167,5.405904,5.883333,12.81471,3.587385,3.508333,6.546969,NA,4.3,9.475,7.089923,10.8312,9.70313,4.833333,7.448396,28.02293,5.858993,11.06683,8.345217,3.8,5.421612,6,5.935547,6.825,12.31667,14.51665,5.25,5.158918,5.81168,5.699692,1.95,25.10206,12.78167,13.08333,8.03777,0.839167,15.02064,9.891667,3.958333,6.625,6.158333,6.921237,2.1,7.407595,25.10206
2015,6.987993,6.60755,6.054328,9.102528,8.655814,10.06,3.5,NA,8.444271,6.95,3.180654,6.394896,9.198651,14.925,5.075,4.361962,4.559747,7.312932,3.274304,7.556577,4.351268,12.76615,7.39284,22.05833,6.175,9.463016,10.025,5.408333,24.99829,6.871372,3.300022,17.03333,6.6,9.933333,4.492074,5.258333,11.98543,3.371515,3.6,7.050571,NA,4.7,8.716667,6.78,9.875579,9.460981,4.345,7.638655,26.0452,5.409116,10.80685,7.884969,4.658333,5.399097,5.9,6.49171,6.275,10.475,12.93583,5.125,5.5765,5.767068,5.60057,1.9,25.33701,11.49333,12.275,7.495194,0.8825,15.22134,10.31667,3.785833,7.525,5.275,6.809548,2.34,7.228595,25.33701
2016,6.513408,8.463213,5.715875,9.063411,7.850407,8.685833,3.9,6.173088,11.39991,7.033333,3.325244,6.640747,9.543051,12.975,3.95,3.902889,4.128844,7.068438,3.001373,7.332415,5.36819,12.54079,7.800682,19.63333,6.775,8.913335,9.725,4.966667,23.88031,6.423942,3.383051,14.94167,4.975,8.383333,3.344154,4.833333,11.74661,3.113246,3.675,8.410091,NA,4.4,8.041667,6.349774,9.636593,9.286513,3.874167,8.21439,23.74568,4.678387,10.67712,6.986991,4.9,5.122575,NA,6.754313,5.45,8.925,11.41204,4.791667,5.515563,NA,5.600135,2.075,26.70005,9.48,11.18333,7.054733,0.986667,15.49915,10.88333,3.920833,7.875,4.875,7.284966,2.29,7.29932,26.70005
2017,5.908066,8.337304,5.594312,8.515914,7.097495,7.199167,4.1,5.671459,12.86511,6.408333,3.088279,6.936543,9.67322,11.11667,2.883333,3.565118,4.190831,5.517686,3.117236,6.846281,4.443627,11.79315,7.886078,17.24167,5.8,8.749542,9.1,4.45,21.83151,5.84949,3.153185,12.41667,4.075,6.758333,3.211644,4.225,11.25946,2.806615,3.683333,8.868184,NA,4.2,7.883333,5.917911,8.709263,10.28603,3.419167,8.457504,22.27129,4.124278,10.55936,5.86198,4.366667,4.722156,NA,6.901794,5.7,7.258333,9.14206,4.266667,5.181652,NA,5.999176,2.175,27.41046,7.060833,9.475,6.78122,1.173333,15.3538,10.93333,3.760833,7.925,4.358333,7.183809,2.22,7.085332,27.41046
2018,5.357069,9.207866,5.307348,7.711785,5.958623,6.175833,4.3,4.826116,12.37676,5.85,2.541678,7.339443,9.989677,8.416667,2.241667,3.207761,3.848063,5.621356,2.934842,6.388348,4.100766,9.858263,7.54482,15.26667,5.375,7.3966,8.7,4.158333,19.73473,5.322698,2.81529,9.858333,3.575,5.816667,3.115125,4,10.58138,2.441806,3.858333,8.723595,NA,4.4,8.5,5.463435,7.396311,9.621099,3.320833,8.1455,20.59799,3.949403,9.421836,4.856519,4.041667,4.324491,5.8,6.627758,5.3,6.075,7.165208,3.566667,4.797717,5.644913,5.99481,2.125,27.08871,5.42,8.258333,6.439489,1.06,15.45687,10.94167,3.709167,8.366667,3.891667,6.90874,2.19,6.650449,27.08871
2019,5.037399,9.800519,5.168685,7.35225,5.366276,5.65,4.7,4.222953,12.0544,5.7,2.304631,7.225961,10.90141,7.075,2.041667,2.977034,3.671283,6.150558,2.836958,6.76206,4.47444,7.859613,7.686606,14.10833,4.45,6.721459,8.175,3.933333,17.876,5.010867,2.918262,7.75,3.3,4.991667,3.956399,3.808333,9.922442,2.349567,3.758333,8.776942,NA,4.8,8.383333,5.380309,6.30979,9.188854,3.488333,8.39397,17.14889,4.073508,8.214114,4.427059,3.858333,4.099169,6.9,6.544878,5.1,5.416667,6.621163,3.05,4.615435,6.66737,5.691622,2.225,28.67264,5.001667,7.641667,6.923396,0.986667,15.16048,13.73333,3.73,8.925,3.675,NA,2.17,6.601562,28.67264
2020,6.890099,11.53222,6.462792,9.996439,5.532809,7.359167,5.9,4.101094,13.52762,9.725,3.187595,10.53987,16.73819,7.616667,2.55,3.629752,4.614554,5.831736,NA,7.312724,7.99824,7.958194,9.181389,15.55,6.8,7.735235,7.825,4.658333,17.65614,6.715311,5.518555,8.983333,4.15,5.841667,6.434231,4.316667,9.315347,2.776169,3.983333,10.99878,NA,5.5,12.55833,6.349056,8.091538,11.94197,4.406667,9.961853,16.15013,4.848455,9.275769,4.85206,4.775,4.608271,NA,14.17063,10.275,5.966667,6.946437,3.116667,5.76268,NA,7.386515,3.025,29.14618,6.788333,8.725,8.518996,NA,16.68829,13.14167,3.849167,10.35,8.091667,NA,2.48,8.276095,29.14618
2021,5.828056,8.721822,5.127467,7.9841,6.273963,5.521667,5.9,3.923567,13.47525,7.483333,2.984666,9.117299,13.75474,7.175,2.816667,3.566733,3.601725,7.386001,NA,6.608598,4.750078,7.39874,8.555033,14.95,6.175,7.623578,7.675,4.633333,14.76922,5.747376,5.419412,8.083333,4.05,6.258333,5.892621,4.958333,9.55957,2.817593,3.608333,10.06851,NA,5.1,13.04167,5.747554,7.561469,12.2627,4.1425,9.341203,15.42576,3.774977,9.018542,4.222567,4.425,3.787269,6.3,10.71718,8.025,6.408333,6.557907,3.05,4.851335,NA,6.892341,2.65,34.31838,7.476667,7.608333,8.869361,NA,17.57599,12.01667,3.951667,9.366667,5.35,NA,3.2,7.43869,34.31838
2022,4.653571,6.833012,3.716131,6.289489,5.577749,4.499167,5.4,3.598396,9.493904,5.266667,2.1603,7.808158,11.18333,6.266667,2.391667,3.065084,2.528503,5.30111,3.122427,5.628908,3.999555,7.245804,7.037318,13.04167,5.6,6.787043,7.05,3.85,12.4585,4.610984,4.33014,6.775,3.575,4.466667,3.775109,3.758333,8.079482,2.600749,2.866667,7.465687,NA,4.7,9.008333,4.810706,6.851318,11.89935,3.275,7.693026,14.37539,3.451898,8.299945,3.54018,3.241667,3.278936,NA,7.700956,5.45,5.4,6.05454,2.916667,3.958999,NA,4.769607,2.125,33.53223,6.31,5.783333,7.4704,1.338333,15.4744,10.475,3.669167,7.875,3.633333,NA,2.34,6.057556,33.53223
2023,4.564419,6.126724,3.686893,6.409437,5.525779,5.28,6.3,3.474759,8.039426,5.408333,2.034383,8.647044,10.14736,5.858333,2.625,3.026754,2.777674,5.307372,2.701539,4.990958,3.631635,7.021391,6.436381,12.2,6.375,7.234492,7.1,4.025,11.09505,4.458473,2.979461,6.216667,4.05,4.316667,3.382144,3.433333,7.66578,2.56651,2.7,6.547154,NA,4.7,8.65,5.207408,6.505933,13.02798,2.795833,7.04201,13.04973,3.12725,8.47753,3.542484,3.6,3.707572,NA,6.801948,4.6,5.175,6.496019,2.875,3.175647,NA,NA,1.925,32.40057,5.298333,4.941667,7.678672,0.979167,15.97438,9.391667,3.479167,8.325,3.625,NA,2.28,5.677008,32.40057
2024,NA,NA,4.028946,6.992681,NA,5.473,NA,NA,NA,6.23,2.40924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.959933,5.45,NA,4.3,NA,3.02,NA,NA,2.69,NA,NA,NA,8.76,5.69651,6.919486,NA,NA,NA,NA,NA,NA,3.666184,NA,NA,NA,6.544321,NA,5.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.337431,1.016,NA,NA,3.373,8.28,4.01,NA,NA,NA,NA
